iso3,method,simple_method,kp,area_name,area_level,age_group,year,count_lower,count_estimate,count_upper,prop_lower,prop_estimate,prop_upper,denominator,ref,link,dataset_id,dataset,uid,data_checked,source_found,duplicate_of,is_aggregate,study_idx,observation_idx
BEN,Object multiplier,Object multiplier,TGW,Porto-Novo,NA,NA,2020,NA,83,NA,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3605
BEN,SS-PSE,SS-PSE,TGW,Abomey-Calavi,NA,NA,2020,463,585,625,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3606
BEN,SS-PSE,SS-PSE,TGW,Bohicon,NA,NA,2020,27,65,229,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3608
BEN,SS-PSE,SS-PSE,TGW,Cotonou,NA,NA,2020,593,1149,2112,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3609
BEN,SS-PSE,SS-PSE,TGW,Ouidah,NA,NA,2020,57,151,420,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3610
BEN,SS-PSE,SS-PSE,TGW,Parakou,NA,NA,2020,83,187,442,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3611
BEN,SS-PSE,SS-PSE,TGW,Porto-Novo,NA,NA,2020,71,102,138,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3620
BFA,PLACE/mapping,PLACE/mapping,FSW,Bale,NA,NA,2017,NA,78,NA,NA,NA,NA,NA,"CARTOGRAPHIE PROGRAMMATIQUE, ESTIMATION DE LA TAILLE ET ENQUETE BIO- COMPORTEMENTALE PARMI LES POPULATIONS CLES (PS, HSH, UD) AU BURKINA FASO",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,29,3627
BFA,PLACE/mapping,PLACE/mapping,FSW,Bam,NA,NA,2017,NA,124,NA,NA,NA,NA,NA,"CARTOGRAPHIE PROGRAMMATIQUE, ESTIMATION DE LA TAILLE ET ENQUETE BIO- COMPORTEMENTALE PARMI LES POPULATIONS CLES (PS, HSH, UD) AU BURKINA FASO",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,29,3632
BFA,PLACE/mapping,PLACE/mapping,FSW,Banwa,NA,NA,2017,NA,26,NA,NA,NA,NA,NA,"CARTOGRAPHIE PROGRAMMATIQUE, ESTIMATION DE LA TAILLE ET ENQUETE BIO- COMPORTEMENTALE PARMI LES POPULATIONS CLES (PS, HSH, UD) AU BURKINA FASO",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,29,3633
BFA,PLACE/mapping,PLACE/mapping,FSW,Bazega,NA,NA,2017,NA,37,NA,NA,NA,NA,NA,"CARTOGRAPHIE PROGRAMMATIQUE, ESTIMATION DE LA TAILLE ET ENQUETE BIO- COMPORTEMENTALE PARMI LES POPULATIONS CLES (PS, HSH, UD) AU BURKINA FASO",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,29,3634
BFA,PLACE/mapping,PLACE/mapping,MSM,Bazega,NA,NA,2017,NA,2,NA,NA,NA,NA,NA,"CARTOGRAPHIE PROGRAMMATIQUE, ESTIMATION DE LA TAILLE ET ENQUETE BIO- COMPORTEMENTALE PARMI LES POPULATIONS CLES (PS, HSH, UD) AU BURKINA FASO",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,29,3635
