iso3,indicator,method,simple_method,kp,area_name,area_level,age_group,year,count_lower,count_estimate,count_upper,prop_lower,prop_estimate,prop_upper,denominator,ref,link,dataset_id,dataset,uid,data_checked,source_found,duplicate_of,is_aggregate,ethic,study_idx,observation_idx
BDI,prevalence,lab,lab,MSM,"Bujumbura Mairie, Bujumbura Rural, Bubanza, Cibitoke, Muramvya, Mwaro",NA,NA,2021,NA,NA,NA,NA,0.10800000000000001,NA,246,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,7,645
BDI,prevalence,lab,lab,PWID,"Bujumbura Mairie, Bujumbura Rural, Bubanza, Cibitoke, Muramvya, Mwaro",NA,NA,2021,NA,NA,NA,NA,0.08,NA,178,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,7,646
BDI,prevalence,lab,lab,FSW,"Gitega, Cankuzo, Rutana, Ruyigi",NA,NA,2021,NA,NA,NA,NA,0.24600000000000002,NA,248,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,7,647
BDI,prevalence,lab,lab,FSW,Bujumbura Mairie,NA,NA,2011,NA,NA,NA,NA,0.083,NA,407,"ENQUETE DE SEROPREVALENCE ET SOCIOCOMPORTEMENTALE DU VIH FOCALISEE SUR LES GROUPES A PLUS HAUT RISQUE, RAPPORT DE L'ETUDE (VOLUME 0: RESUME EXECUTIF)",NA,GF_dc0b1b1f9b2c23e1acee0b483d753fab,GF,48795245830017350f41e6b99da44ad6,Yes,yes,NA,NA,NA,8,716
BDI,prevalence,lab,lab,MSM,Bujumbura Mairie,NA,NA,2011,NA,NA,NA,NA,0.023,NA,370,"ENQUETE DE SEROPREVALENCE ET SOCIOCOMPORTEMENTALE DU VIH FOCALISEE SUR LES GROUPES A PLUS HAUT RISQUE, RAPPORT DE L'ETUDE (VOLUME 0: RESUME EXECUTIF)",NA,GF_c748ba880c5ffa3131377cb571cbe0df,GF,997d52509e9f138ebfbfdfc378f6f871,Yes,yes,NA,NA,NA,8,717
NGA,prevalence,lab,lab,FSW,Abia,NA,NA,2014,NA,NA,NA,NA,0.04,NA,276,BBS 2014,NA,GF_70fb7605f9e5c42966c5ee790106db6f,GF,cc9e56e1cbb4e18fc7d8020c3197fa4a,Yes,yes,NA,NA,NA,160,718
BEN,prevalence,lab,lab,FSW,Alibori,NA,NA,2011,NA,NA,NA,0.138,0.27,0.441,38,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,719
BEN,prevalence,lab,lab,FSW,Atacora,NA,NA,2011,NA,NA,NA,0.27,0.12,0.218,49,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,723
BEN,prevalence,lab,lab,FSW,Atlantique,NA,NA,2011,NA,NA,NA,0.169,0.263,0.37,78,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,727
NGA,prevalence,lab,lab,FSW,Abia,NA,NA,2014,NA,NA,NA,NA,0.101,NA,269,BBS 2014,NA,GF_04e456cb257ac114d5735a570e7e827d,GF,65ac9121ddfa62075d5e0050669a240d,Yes,yes,NA,NA,NA,160,728
NGA,prevalence,lab,lab,FSW,Abia,NA,Y015_049,2020,NA,NA,NA,NA,0.061,NA,413,BBS 2020,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,164,731
NGA,prevalence,lab,lab,FSW,Akwa Ibom,NA,Y015_049,2020,NA,NA,NA,NA,0.114,NA,411,BBS 2020,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,164,733
BEN,prevalence,lab,lab,FSW,Borgou,NA,NA,2011,NA,NA,NA,0.71,0.141,0.233,80,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,737
BEN,prevalence,lab,lab,FSW,Collines,NA,NA,2011,NA,NA,NA,0.26,0.98,0.205,52,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,744
BEN,prevalence,lab,lab,FSW,Couffo,NA,NA,2011,NA,NA,NA,0.67,0.138,0.37,32,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,745
BEN,prevalence,lab,lab,FSW,Donga,NA,NA,2011,NA,NA,NA,NA,0.111,NA,10,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,746
BEN,prevalence,lab,lab,FSW,Littoral,NA,NA,2011,NA,NA,NA,0.211,0.262,0.304,338,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,747
BEN,prevalence,lab,lab,FSW,Mono,NA,NA,2011,NA,NA,NA,NA,0,NA,52,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,748
BEN,prevalence,lab,lab,FSW,Oueme,NA,NA,2011,NA,NA,NA,0.161,0.218,0.284,180,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,749
BEN,prevalence,lab,lab,FSW,Plateau,NA,NA,2011,NA,NA,NA,0.08,0.2,0.303,52,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,750
BEN,prevalence,lab,lab,FSW,Zou,NA,NA,2011,NA,NA,NA,0.91,0.189,0.309,55,2012 Benin IBBS FSW and waitress,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,9,751
BEN,prevalence,lab,lab,FSW,Alibori,NA,NA,2015,NA,NA,NA,0.115,0.138,0.161,53,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_05bd1651420ae2a135d2c45b797f7e97,GF,c9da4ea59cd6117dfd1f13c3d1dbf930,Yes,yes,NA,NA,NA,11,752
BEN,prevalence,lab,lab,FSW,Atacora,NA,NA,2015,NA,NA,NA,0.033,0.041,0.049,50,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_3e575f429b1afd0acdfce81c7329fb26,GF,3a823f5c8a5d39d7d904dfe96eb36053,Yes,yes,NA,NA,NA,11,754
BEN,prevalence,lab,lab,FSW,Atlantique,NA,NA,2015,NA,NA,NA,0.202,0.209,0.216,110,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_7c65e0f0b8d94da10e26f61c28e623a8,GF,3a929d297bc5bc5bbb2fe560dc517431,Yes,yes,NA,NA,NA,11,755
BEN,prevalence,lab,lab,FSW,Bourgou,NA,NA,2015,NA,NA,NA,0.145,0.153,0.161,86,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_3aa4d15a0024e1f7b1c246d81cf34cfc,GF,baab9d11aeb44734aa4327a5805519e9,Yes,yes,NA,NA,NA,11,759
BEN,prevalence,lab,lab,FSW,Collines,NA,NA,2015,NA,NA,NA,NA,0,NA,18,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_082e2f59fb5ef74073f4eafed4b67c81,GF,01a834acb4a7330583d2922b9a3b028c,Yes,yes,NA,NA,NA,11,761
BEN,prevalence,lab,lab,FSW,Couffo,NA,NA,2015,NA,NA,NA,0.041,0.1,0.159,15,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_a4f62952d28bf429122bf4bc6fc08796,GF,7b3c42517d52a2043e0667a4767b3352,Yes,yes,NA,NA,NA,11,766
BEN,prevalence,lab,lab,FSW,Donga,NA,NA,2015,NA,NA,NA,0.122,0.2,0.278,10,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_3a48c10a028b4c609a41f59e4e3cbf72,GF,2aa0e3e7ab9f50a3fb4f3b79f577237b,Yes,yes,NA,NA,NA,11,767
BEN,prevalence,lab,lab,FSW,Littoral,NA,NA,2015,NA,NA,NA,0.166,0.168,0.169,533,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_d9b86c88db3c892368cbada8c6df9f49,GF,4e74f9f394aabf57954587758eb5f8b0,Yes,yes,NA,NA,NA,11,768
BEN,prevalence,lab,lab,FSW,Mono,NA,NA,2015,NA,NA,NA,0.045,0.143,0.241,8,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_24be7c7e929aeacaa56f3cc41b944c35,GF,4a38669c1afd5f34d5f7e45e2f07cd4a,Yes,yes,NA,NA,NA,11,769
BEN,prevalence,lab,lab,FSW,Oueme,NA,NA,2015,NA,NA,NA,0.168,0.175,0.183,99,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_740dc43c83e828fcb3a7267e19c6c282,GF,f5f9d0117375ac2943c26875fef742d5,Yes,yes,NA,NA,NA,11,773
BEN,prevalence,lab,lab,FSW,Plateau,NA,NA,2015,NA,NA,NA,0.206,0.233,0.261,31,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_e6589f3a638c02142e8680251262d980,GF,3bbaecbae881185ec6f6fadad0bd54e4,Yes,yes,NA,NA,NA,11,774
BEN,prevalence,lab,lab,FSW,Zou,NA,NA,2015,NA,NA,NA,0.097,0.101,0.104,167,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2015) (Professionnelles de Sexe & Serveuses de Bar et Restaurants)",NA,GF_a52bae8ebdda511d66bd815a6efbae03,GF,9fe78f80e394785af499360fc1efdb56,Yes,yes,NA,NA,NA,11,775
BEN,prevalence,lab,lab,FSW,Alibori,NA,NA,2017,NA,NA,NA,NA,0.14300000000000002,NA,54,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,11,785
BEN,prevalence,lab,lab,FSW,Atacora,NA,NA,2017,NA,NA,NA,NA,0.11699999999999999,NA,62,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,11,787
BEN,prevalence,lab,lab,FSW,Atlantique,NA,NA,2017,NA,NA,NA,NA,0.068,NA,107,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,11,788
BEN,prevalence,lab,lab,FSW,Borgou,NA,NA,2017,NA,NA,NA,NA,0.04,NA,104,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,11,789
BEN,prevalence,lab,lab,FSW,Littoral,NA,NA,2017,NA,NA,NA,NA,0.099,NA,395,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,11,790
BEN,prevalence,lab,lab,FSW,Mono,NA,NA,2017,NA,NA,NA,NA,0.063,NA,17,"Enquete De Surveillance De Deuxieme Generation Relative Aux IST, VIH Et Sida Au Benin (Esdg-2017) (Travailleuses de Sexe, Serveuses de Bar et Restaurants & Clients PS)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,11,791
BEN,prevalence,lab,lab,MSM,Abomey-Calavi,NA,NA,2014,NA,NA,NA,NA,0.045454545,NA,22,Etude De Suivi De Cohorte Pour l'Estimation De l'Incidence Du VIH Et De La Taille De La Population Des HSH Au Benin,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,13,795
BEN,prevalence,lab,lab,MSM,Come,NA,NA,2014,NA,NA,NA,NA,0,NA,21,Etude De Suivi De Cohorte Pour l'Estimation De l'Incidence Du VIH Et De La Taille De La Population Des HSH Au Benin,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,13,796
BEN,prevalence,lab,lab,MSM,Cotonou,NA,NA,2014,NA,NA,NA,NA,0.046391753,NA,194,Etude De Suivi De Cohorte Pour l'Estimation De l'Incidence Du VIH Et De La Taille De La Population Des HSH Au Benin,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,13,797
BEN,prevalence,lab,lab,MSM,Parakou,NA,NA,2014,NA,NA,NA,NA,0.009615385,NA,104,Etude De Suivi De Cohorte Pour l'Estimation De l'Incidence Du VIH Et De La Taille De La Population Des HSH Au Benin,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,13,799
BEN,prevalence,lab,lab,MSM,Abomey-Calavi,NA,NA,2013,NA,NA,NA,NA,0.28,NA,55,2013 Benin IBBS (MSM),NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,14,800
NGA,prevalence,lab,lab,FSW,Anambra,NA,Y015_049,2020,NA,NA,NA,NA,0.065,NA,415,BBS 2020,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,164,804
NGA,prevalence,lab,lab,FSW,Benue,NA,Y015_049,2020,NA,NA,NA,NA,0.20199999999999999,NA,415,BBS 2020,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,164,805
BEN,prevalence,lab,lab,MSM,Cotonou,NA,NA,2013,NA,NA,NA,NA,0.178,NA,162,2013 Benin IBBS (MSM),NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,14,806
BEN,prevalence,lab,lab,MSM,Porto-Novo,NA,NA,2013,NA,NA,NA,NA,0.299,NA,NA,2013 Benin IBBS (MSM),NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,14,808
BEN,prevalence,lab,lab,PWID,"Porto-Novo, Seme-Krake, Cotonou, Ouidah, Come, Hillacondji, Bohicon, Abomey and Parakou",NA,NA,2013,NA,NA,NA,NA,0.067,NA,112,EnquÍte de surveillance de deuxiËme generation du VIH et des IST auprËs des utilisateurs de drogues injectables au Benin,NA,GF_35e0289c764b431a09145143e5d4802e,GF,3f5c72dce85bdbe1c819ee6b355b00ca,Yes,yes,NA,NA,NA,15,809
NGA,prevalence,lab,lab,FSW,Gombe,NA,Y015_049,2020,NA,NA,NA,NA,0.243,NA,415,BBS 2020,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,164,812
NGA,prevalence,lab,lab,FSW,Kaduna,NA,Y015_049,2020,NA,NA,NA,NA,0.265,NA,415,BBS 2020,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,164,814
NGA,prevalence,lab,lab,FSW,Kano,NA,Y015_049,2020,NA,NA,NA,NA,0.133,NA,415,BBS 2020,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,164,815
BEN,prevalence,lab,lab,PWID,Atacora/Donga,NA,NA,2017,NA,NA,NA,0,0.091,0.261,11,"ENQUETE DE SURVEILLANCE DE DEUXIEME GENERATION RELATIVE AUX IST, VIH ET SIDA (ESDGE) EDITION 2017 Cibles: Consommateurs de Drogues par Injection (CDI)",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,17,819
