kp,iso3,area_id,logit_gen_prev,logit_kp_prev,obs_iid,method,positive,negative,denominator,id.ref,id.iso3,id.area,idx,id.ref.nat,lower,median,upper,indicator,source,gen_prev,region
Female sex workers,NA,NA,-2.649821696202417,NA,NA,NA,NA,NA,1,NA,NA,NA,14,NA,-2.3097541197041345,0.12047149941795932,-1.655019680640105,prevalence,Main results,0.06600000000000002,Western and Central Africa
Female sex workers,NA,NA,-5.109977737428519,NA,NA,NA,NA,NA,1,NA,NA,NA,15,NA,-2.471123511809884,0.11611878136174929,-1.6060845683832012,prevalence,Main results,0.006000000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-4.498799058824342,NA,NA,NA,NA,NA,1,NA,NA,NA,16,NA,-2.0633332667595132,0.15545292144157538,-1.2911660716727595,prevalence,Main results,0.010999999999999998,Eastern and Southern Africa
Female sex workers,NA,NA,-4.119037174812472,NA,NA,NA,NA,NA,1,NA,NA,NA,17,NA,-1.8193663766313968,0.18553249779603834,-1.0838655271108313,prevalence,Main results,0.016000000000000007,Eastern and Southern Africa
Female sex workers,NA,NA,-3.8420092048070873,NA,NA,NA,NA,NA,1,NA,NA,NA,18,NA,-1.650490018481294,0.21096667950067785,-0.94118974259307,prevalence,Main results,0.021000000000000005,Eastern and Southern Africa
Female sex workers,NA,NA,-3.623314765621053,NA,NA,NA,NA,NA,1,NA,NA,NA,19,NA,-1.5185444689042213,0.23239718367536416,-0.8254908050551769,prevalence,Main results,0.026000000000000006,Eastern and Southern Africa
Female sex workers,NA,NA,-3.4422774074056197,NA,NA,NA,NA,NA,1,NA,NA,NA,20,NA,-1.412336934454719,0.25129315403246544,-0.7313892827017323,prevalence,Main results,0.031000000000000007,Eastern and Southern Africa
Female sex workers,NA,NA,-3.2875723561544357,NA,NA,NA,NA,NA,1,NA,NA,NA,21,NA,-1.3173978842379108,0.268441269634179,-0.6554250149300472,prevalence,Main results,0.036,Eastern and Southern Africa
Female sex workers,NA,NA,-3.15231900817913,NA,NA,NA,NA,NA,1,NA,NA,NA,22,NA,-1.2411338619966836,0.28424072318623556,-0.5868815187080577,prevalence,Main results,0.04100000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-3.0320222749591914,NA,NA,NA,NA,NA,1,NA,NA,NA,23,NA,-1.1725508612645081,0.2980220184948682,-0.5219912625605343,prevalence,Main results,0.046000000000000006,Eastern and Southern Africa
Female sex workers,NA,NA,-2.923583165885602,NA,NA,NA,NA,NA,1,NA,NA,NA,24,NA,-1.1152695221598579,0.31114030326101155,-0.45069159421652033,prevalence,Main results,0.05100000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-2.8247744754103516,NA,NA,NA,NA,NA,1,NA,NA,NA,25,NA,-1.0539575295694634,0.3236999448816781,-0.38864849402238766,prevalence,Main results,0.05599999999999999,Eastern and Southern Africa
Female sex workers,NA,NA,-2.7339416150349516,NA,NA,NA,NA,NA,1,NA,NA,NA,26,NA,-1.0030235426630028,0.3347728770298521,-0.3329735685146768,prevalence,Main results,0.061000000000000006,Eastern and Southern Africa
Female sex workers,NA,NA,-2.649821696202417,NA,NA,NA,NA,NA,1,NA,NA,NA,27,NA,-0.9551823255591156,0.3457058281517505,-0.27910186695023576,prevalence,Main results,0.06600000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-2.571428861772523,NA,NA,NA,NA,NA,1,NA,NA,NA,28,NA,-0.9128484615123816,0.35583555394021815,-0.2290438495473288,prevalence,Main results,0.071,Eastern and Southern Africa
Female sex workers,NA,NA,-2.497978731355353,NA,NA,NA,NA,NA,1,NA,NA,NA,29,NA,-0.8746358189062537,0.36541101433619294,-0.18190320896449724,prevalence,Main results,0.076,Eastern and Southern Africa
Female sex workers,NA,NA,-2.428836967683248,NA,NA,NA,NA,NA,1,NA,NA,NA,30,NA,-0.8392572514712376,0.37460246486893695,-0.13764515887408157,prevalence,Main results,0.081,Eastern and Southern Africa
Female sex workers,NA,NA,-2.3634832752006423,NA,NA,NA,NA,NA,1,NA,NA,NA,31,NA,-0.8049670769736583,0.3830303886552678,-0.09819897478770209,prevalence,Main results,0.08600000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-2.3014855876606286,NA,NA,NA,NA,NA,1,NA,NA,NA,32,NA,-0.7699333641026151,0.39160979790079364,-0.06821716546016003,prevalence,Main results,0.09100000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-2.2424811689243405,NA,NA,NA,NA,NA,1,NA,NA,NA,33,NA,-0.7399141605174314,0.3994353336073042,-0.040618717366789334,prevalence,Main results,0.09599999999999999,Eastern and Southern Africa
Female sex workers,NA,NA,-2.1861625176303607,NA,NA,NA,NA,NA,1,NA,NA,NA,34,NA,-0.7112613732339396,0.40684206338498413,-0.0079027973340553,prevalence,Main results,0.10100000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-2.132266681061447,NA,NA,NA,NA,NA,1,NA,NA,NA,35,NA,-0.6838412219129506,0.4136679053118098,0.023346883421869837,prevalence,Main results,0.10600000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-2.0805670342015703,NA,NA,NA,NA,NA,1,NA,NA,NA,36,NA,-0.6578972929172164,0.42089015315155986,0.05151071165160863,prevalence,Main results,0.11100000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-2.0308668715312788,NA,NA,NA,NA,NA,1,NA,NA,NA,37,NA,-0.6342982187377936,0.42764542995631794,0.07701335185597928,prevalence,Main results,0.116,Eastern and Southern Africa
Female sex workers,NA,NA,-1.9829943520884359,NA,NA,NA,NA,NA,1,NA,NA,NA,38,NA,-0.6088050330921162,0.43417828693032645,0.10199169000740509,prevalence,Main results,0.12100000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-1.9367984687040574,NA,NA,NA,NA,NA,1,NA,NA,NA,39,NA,-0.58623418628257,0.44097535866376675,0.13033466554676026,prevalence,Main results,0.126,Eastern and Southern Africa
Female sex workers,NA,NA,-1.8921458020642405,NA,NA,NA,NA,NA,1,NA,NA,NA,40,NA,-0.5650589482701519,0.447204706592812,0.1591001788174851,prevalence,Main results,0.131,Eastern and Southern Africa
Female sex workers,NA,NA,-1.8489178830680035,NA,NA,NA,NA,NA,1,NA,NA,NA,41,NA,-0.544657374797575,0.45297511166551185,0.18705171574505364,prevalence,Main results,0.136,Eastern and Southern Africa
Female sex workers,NA,NA,-1.807009031606087,NA,NA,NA,NA,NA,1,NA,NA,NA,42,NA,-0.524840748250033,0.45866479064542903,0.21711944194187296,prevalence,Main results,0.14100000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-1.7663245720802332,NA,NA,NA,NA,NA,1,NA,NA,NA,43,NA,-0.5022884953537287,0.4646536343919823,0.24425302071216734,prevalence,Main results,0.14600000000000005,Eastern and Southern Africa
Female sex workers,NA,NA,-1.726779349496423,NA,NA,NA,NA,NA,1,NA,NA,NA,44,NA,-0.4816689588995209,0.4701254732284949,0.27139117874452484,prevalence,Main results,0.15100000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.6882964873464201,NA,NA,NA,NA,NA,1,NA,NA,NA,45,NA,-0.46189319517437327,0.4756328349240536,0.2972620121581976,prevalence,Main results,0.156,Eastern and Southern Africa
Female sex workers,NA,NA,-1.6508063414827432,NA,NA,NA,NA,NA,1,NA,NA,NA,46,NA,-0.4426275734092484,0.48110269343625217,0.3221920825699979,prevalence,Main results,0.161,Eastern and Southern Africa
Female sex workers,NA,NA,-1.6142456140022035,NA,NA,NA,NA,NA,1,NA,NA,NA,47,NA,-0.423142198975473,0.48619419530422686,0.347169328756455,prevalence,Main results,0.166,Eastern and Southern Africa
Female sex workers,NA,NA,-1.5785565986326349,NA,NA,NA,NA,NA,1,NA,NA,NA,48,NA,-0.40410618965562517,0.49128611725074306,0.36960724232325404,prevalence,Main results,0.17100000000000004,Eastern and Southern Africa
Female sex workers,NA,NA,-1.5436865348713198,NA,NA,NA,NA,NA,1,NA,NA,NA,49,NA,-0.3855318466297835,0.49614925475292876,0.39143110311322293,prevalence,Main results,0.17600000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.5095870525872435,NA,NA,NA,NA,NA,1,NA,NA,NA,50,NA,-0.36802811581834444,0.5009694163231682,0.4128315828811438,prevalence,Main results,0.18100000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.4762136922893392,NA,NA,NA,NA,NA,1,NA,NA,NA,51,NA,-0.350066419035246,0.505932474944722,0.4319530327535028,prevalence,Main results,0.186,Eastern and Southern Africa
Female sex workers,NA,NA,-1.4435254890118618,NA,NA,NA,NA,NA,1,NA,NA,NA,52,NA,-0.3334359047443397,0.5106912460984662,0.4534087130049488,prevalence,Main results,0.19099999999999998,Eastern and Southern Africa
Female sex workers,NA,NA,-1.411484609948449,NA,NA,NA,NA,NA,1,NA,NA,NA,53,NA,-0.31746202054724654,0.5150615722172315,0.4744217681841821,prevalence,Main results,0.196,Eastern and Southern Africa
Female sex workers,NA,NA,-1.3800560377071986,NA,NA,NA,NA,NA,1,NA,NA,NA,54,NA,-0.3016402436833553,0.5195944187512584,0.49561600236052533,prevalence,Main results,0.20100000000000004,Eastern and Southern Africa
Female sex workers,NA,NA,-1.3492072924575547,NA,NA,NA,NA,NA,1,NA,NA,NA,55,NA,-0.28584238173608717,0.5241095241639495,0.5178864832163839,prevalence,Main results,0.20600000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.3189081873698076,NA,NA,NA,NA,NA,1,NA,NA,NA,56,NA,-0.27031115313057313,0.5286070963589288,0.5398167651277195,prevalence,Main results,0.21100000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.289130612666243,NA,NA,NA,NA,NA,1,NA,NA,NA,57,NA,-0.2550472594050167,0.5325079351682526,0.5613695669677025,prevalence,Main results,0.21599999999999997,Eastern and Southern Africa
Female sex workers,NA,NA,-1.2598483443529955,NA,NA,NA,NA,NA,1,NA,NA,NA,58,NA,-0.24003725822036245,0.5367304872198029,0.5825638694810324,prevalence,Main results,0.221,Eastern and Southern Africa
Female sex workers,NA,NA,-1.2310368743174411,NA,NA,NA,NA,NA,1,NA,NA,NA,59,NA,-0.2253774934705902,0.5406214773519487,0.6034174114694797,prevalence,Main results,0.22600000000000003,Eastern and Southern Africa
Female sex workers,NA,NA,-1.2026732589838505,NA,NA,NA,NA,NA,1,NA,NA,NA,60,NA,-0.2122578113303992,0.5443114688355483,0.6239467993338715,prevalence,Main results,0.23099999999999998,Eastern and Southern Africa
Female sex workers,NA,NA,-1.1747359841409104,NA,NA,NA,NA,NA,1,NA,NA,NA,61,NA,-0.1982869388322988,0.5480874251029361,0.644055236941424,prevalence,Main results,0.23600000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.147204843904975,NA,NA,NA,NA,NA,1,NA,NA,NA,62,NA,-0.18422104870244066,0.5519188204051402,0.6605495671440832,prevalence,Main results,0.24100000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.1200608320755931,NA,NA,NA,NA,NA,1,NA,NA,NA,63,NA,-0.17025081867569353,0.5556444457255465,0.6761920556111002,prevalence,Main results,0.24600000000000002,Eastern and Southern Africa
Female sex workers,NA,NA,-1.0932860443854355,NA,NA,NA,NA,NA,1,NA,NA,NA,64,NA,-0.15728558612490542,0.5596330497894132,0.6916197635622693,prevalence,Main results,0.251,Eastern and Southern Africa
Female sex workers,NA,NA,-1.0668635903535293,NA,NA,NA,NA,NA,1,NA,NA,NA,65,NA,-0.1438603540135757,0.56324617212347206,0.7068444558688786,prevalence,Main results,0.256,Eastern and Southern Africa
Female sex workers,NA,NA,-1.0407775136255082,NA,NA,NA,NA,NA,1,NA,NA,NA,66,NA,-0.13025431287924413,0.5668508827645038,0.7229960261539631,prevalence,Main results,0.261,Eastern and Southern Africa
Female sex workers,NA,NA,-1.0150127198328165,NA,NA,NA,NA,NA,1,NA,NA,NA,67,NA,-0.11930338432859144,0.5705751552149912,0.7373610460422373,prevalence,Main results,0.266,Eastern and Southern Africa
Female sex workers,NA,NA,-0.9895549111289571,NA,NA,NA,NA,NA,1,NA,NA,NA,68,NA,-0.10848293505912247,0.5741427366938823,0.7516034529686775,prevalence,Main results,0.271,Eastern and Southern Africa
Female sex workers,NA,NA,-0.9643905266685663,NA,NA,NA,NA,NA,1,NA,NA,NA,69,NA,-0.09778720124249624,0.5778963841710398,0.7661648652298455,prevalence,Main results,0.276,Eastern and Southern Africa
Female sex workers,NA,NA,-0.9395066883873008,NA,NA,NA,NA,NA,1,NA,NA,NA,70,NA,-0.08721070925592231,0.5812970038166531,0.7804958691798045,prevalence,Main results,0.281,Eastern and Southern Africa
Female sex workers,NA,NA,-0.9148911515197317,NA,NA,NA,NA,NA,1,NA,NA,NA,71,NA,-0.07674825465055421,0.5845166852601179,0.7946723540167553,prevalence,Main results,0.28600000000000003,Eastern and Southern Africa
Female sex workers,NA,NA,-0.8905322593606347,NA,NA,NA,NA,NA,1,NA,NA,NA,72,NA,-0.06639488292347324,0.5877383071847304,0.8087010330253094,prevalence,Main results,0.29100000000000004,Eastern and Southern Africa
Female sex workers,NA,NA,-0.866418901833982,NA,NA,NA,NA,NA,1,NA,NA,NA,73,NA,-0.0561458719080767,0.5910791953010485,0.824748004706546,prevalence,Main results,0.29600000000000004,Eastern and Southern Africa
Female sex workers,NA,NA,-0.8425404774849347,NA,NA,NA,NA,NA,1,NA,NA,NA,74,NA,-0.04599671561936014,0.5944175051591004,0.8423889501482033,prevalence,Main results,0.301,Eastern and Southern Africa
Female sex workers,NA,NA,-0.8188868585544237,NA,NA,NA,NA,NA,1,NA,NA,NA,75,NA,-0.03594310940940608,0.5978398431736676,0.8553545950056717,prevalence,Main results,0.306,Eastern and Southern Africa
Female sex workers,NA,NA,-0.7954483588344246,NA,NA,NA,NA,NA,1,NA,NA,NA,76,NA,-0.02598093630476393,0.601175430154728,0.8686207555987591,prevalence,Main results,0.31099999999999994,Eastern and Southern Africa
Female sex workers,NA,NA,-0.7722157040356383,NA,NA,NA,NA,NA,1,NA,NA,NA,77,NA,-0.01610625441168965,0.6046479553654474,0.8842942451551814,prevalence,Main results,0.316,Eastern and Southern Africa
Female sex workers,NA,NA,-0.7491800044286803,NA,NA,NA,NA,NA,1,NA,NA,NA,78,NA,-0.006315285287704191,0.6078280015215777,0.9004348563215007,prevalence,Main results,0.32099999999999995,Eastern and Southern Africa
Female sex workers,NA,NA,-0.7263327295455992,NA,NA,NA,NA,NA,1,NA,NA,NA,79,NA,0.003395596811135325,0.6108316861797045,0.9163611679806697,prevalence,Main results,0.326,Eastern and Southern Africa
Female sex workers,NA,NA,-0.7036656847511655,NA,NA,NA,NA,NA,1,NA,NA,NA,80,NA,0.013029874888249159,0.6136986421151596,0.9321476515614718,prevalence,Main results,0.331,Eastern and Southern Africa
Female sex workers,NA,NA,-0.6811709895132295,NA,NA,NA,NA,NA,1,NA,NA,NA,81,NA,0.022590898442383656,0.616651199351284,0.9487944529842116,prevalence,Main results,0.336,Eastern and Southern Africa
Female sex workers,NA,NA,-0.6588410572189904,NA,NA,NA,NA,NA,1,NA,NA,NA,82,NA,0.03208189204639565,0.6196102493640795,0.966877342819404,prevalence,Main results,0.34099999999999997,Eastern and Southern Africa
Female sex workers,NA,NA,-0.6366685763994742,NA,NA,NA,NA,NA,1,NA,NA,NA,83,NA,0.04151910970721705,0.6226491192707829,0.983968479383664,prevalence,Main results,0.3460000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-0.6146464932382241,NA,NA,NA,NA,NA,1,NA,NA,NA,84,NA,0.05091102924022854,0.625474016319313,0.9974002386682863,prevalence,Main results,0.35100000000000003,Eastern and Southern Africa
Female sex workers,NA,NA,-0.5927679952523229,NA,NA,NA,NA,NA,1,NA,NA,NA,85,NA,0.06024171294903864,0.6283030544067901,1.0107444221546515,prevalence,Main results,0.3560000000000001,Eastern and Southern Africa
Female sex workers,NA,NA,-0.5710264960446539,NA,NA,NA,NA,NA,1,NA,NA,NA,86,NA,0.0695139697827954,0.6311692419339442,1.024889601467083,prevalence,Main results,0.361,Eastern and Southern Africa
Female sex workers,NA,NA,-0.5494156210358597,NA,NA,NA,NA,NA,1,NA,NA,NA,87,NA,0.07873051835517139,0.6340536946466879,1.0399331942886962,prevalence,Main results,0.366,Eastern and Southern Africa
Female sex workers,NA,NA,-0.5279291940930053,NA,NA,NA,NA,NA,1,NA,NA,NA,88,NA,0.08789399264693605,0.6369931142575402,1.054890157298667,prevalence,Main results,0.371,Eastern and Southern Africa
Female sex workers,NA,NA,-0.5065612249795332,NA,NA,NA,NA,NA,1,NA,NA,NA,89,NA,0.09689782866926033,0.6398715170508209,1.0697646603734883,prevalence,Main results,0.37599999999999995,Eastern and Southern Africa
Female sex workers,NA,NA,-0.4853058975578951,NA,NA,NA,NA,NA,1,NA,NA,NA,90,NA,0.10600856841185757,0.6424546457875623,1.084560752197215,prevalence,Main results,0.381,Eastern and Southern Africa
Female sex workers,NA,NA,-0.4641575586823115,NA,NA,NA,NA,NA,1,NA,NA,NA,91,NA,0.11497626210507694,0.6450700630278826,1.0992823679933506,prevalence,Main results,0.386,Eastern and Southern Africa
Female sex workers,NA,NA,-0.44311070772453126,NA,NA,NA,NA,NA,1,NA,NA,NA,92,NA,0.12390092109160958,0.6478612725300664,1.1138622919886152,prevalence,Main results,0.391,Eastern and Southern Africa
Female sex workers,NA,NA,-0.4221599866803344,NA,NA,NA,NA,NA,1,NA,NA,NA,93,NA,0.13279150166586948,0.6505724263400783,1.1263029367550461,prevalence,Main results,0.396,Eastern and Southern Africa
People who inject drugs,NA,NA,-6.906754778648554,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,-4.261349668559591,0.03482506261818903,-2.54834365733123,prevalence,Main results,9.999999999999994e-4,Western and Central Africa
People who inject drugs,NA,NA,-5.109977737428519,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,-3.7916711946553394,0.040125859989887575,-2.571673979809359,prevalence,Main results,0.006000000000000001,Western and Central Africa
People who inject drugs,NA,NA,-4.498799058824342,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,-3.7327847589617673,0.04216373907897331,-2.508986700935572,prevalence,Main results,0.010999999999999998,Western and Central Africa
People who inject drugs,NA,NA,-4.119037174812472,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,-3.717158116546059,0.04384627312520339,-2.4721809628856835,prevalence,Main results,0.016000000000000007,Western and Central Africa
People who inject drugs,NA,NA,-3.8420092048070873,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,-3.734198016424235,0.04511392053985248,-2.426850269562949,prevalence,Main results,0.021000000000000005,Western and Central Africa
People who inject drugs,NA,NA,-3.623314765621053,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,-3.7244802952253946,0.045844919630621025,-2.3852603268464034,prevalence,Main results,0.026000000000000006,Western and Central Africa
People who inject drugs,NA,NA,-3.4422774074056197,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,-3.7170532741524753,0.046226849314308066,-2.3622402593182903,prevalence,Main results,0.031000000000000007,Western and Central Africa
People who inject drugs,NA,NA,-3.2875723561544357,NA,NA,NA,NA,NA,1,NA,NA,NA,8,NA,-3.727648615194454,0.046638169743124326,-2.306960711784355,prevalence,Main results,0.036,Western and Central Africa
People who inject drugs,NA,NA,-3.15231900817913,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,-3.7376524715324346,0.04723114446122056,-2.262047108073703,prevalence,Main results,0.04100000000000001,Western and Central Africa
People who inject drugs,NA,NA,-3.0320222749591914,NA,NA,NA,NA,NA,1,NA,NA,NA,10,NA,-3.7568202602637033,0.04770158088757836,-2.219685684734163,prevalence,Main results,0.046000000000000006,Western and Central Africa
People who inject drugs,NA,NA,-2.923583165885602,NA,NA,NA,NA,NA,1,NA,NA,NA,11,NA,-3.760148003196638,0.048122260158254146,-2.188819566049268,prevalence,Main results,0.05100000000000001,Western and Central Africa
People who inject drugs,NA,NA,-2.8247744754103516,NA,NA,NA,NA,NA,1,NA,NA,NA,12,NA,-3.771772492999214,0.04837530175269947,-2.1703099279703957,prevalence,Main results,0.05599999999999999,Western and Central Africa
People who inject drugs,NA,NA,-2.7339416150349516,NA,NA,NA,NA,NA,1,NA,NA,NA,13,NA,-3.772405027063117,0.04869773405345868,-2.1641859617286627,prevalence,Main results,0.061000000000000006,Western and Central Africa
People who inject drugs,NA,NA,-2.649821696202417,NA,NA,NA,NA,NA,1,NA,NA,NA,14,NA,-3.780950914411064,0.04906513071862742,-2.138631986985206,prevalence,Main results,0.06600000000000002,Western and Central Africa
People who inject drugs,NA,NA,-5.109977737428519,NA,NA,NA,NA,NA,1,NA,NA,NA,15,NA,-3.8090389768843163,0.06673242455046442,-1.554866711894532,prevalence,Main results,0.006000000000000001,Eastern and Southern Africa
People who inject drugs,NA,NA,-4.498799058824342,NA,NA,NA,NA,NA,1,NA,NA,NA,16,NA,-3.188479140221366,0.09507167919219754,-1.3766517375225067,prevalence,Main results,0.010999999999999998,Eastern and Southern Africa
People who inject drugs,NA,NA,-4.119037174812472,NA,NA,NA,NA,NA,1,NA,NA,NA,17,NA,-2.801340002469431,0.11960032321530777,-1.2260453265301443,prevalence,Main results,0.016000000000000007,Eastern and Southern Africa
People who inject drugs,NA,NA,-3.8420092048070873,NA,NA,NA,NA,NA,1,NA,NA,NA,18,NA,-2.55377077761925,0.1410684475245801,-1.0977940875890349,prevalence,Main results,0.021000000000000005,Eastern and Southern Africa
People who inject drugs,NA,NA,-3.623314765621053,NA,NA,NA,NA,NA,1,NA,NA,NA,19,NA,-2.38472791325924,0.15943228608700852,-0.9967804310550449,prevalence,Main results,0.026000000000000006,Eastern and Southern Africa
People who inject drugs,NA,NA,-3.4422774074056197,NA,NA,NA,NA,NA,1,NA,NA,NA,20,NA,-2.236353179993135,0.17688948681334019,-0.8951985587980616,prevalence,Main results,0.031000000000000007,Eastern and Southern Africa
People who inject drugs,NA,NA,-3.2875723561544357,NA,NA,NA,NA,NA,1,NA,NA,NA,21,NA,-2.1269309792846887,0.1929198506855302,-0.7982612568122379,prevalence,Main results,0.036,Eastern and Southern Africa
People who inject drugs,NA,NA,-3.15231900817913,NA,NA,NA,NA,NA,1,NA,NA,NA,22,NA,-2.034881229377393,0.20911844534202348,-0.7030128550969899,prevalence,Main results,0.04100000000000001,Eastern and Southern Africa
People who inject drugs,NA,NA,-3.0320222749591914,NA,NA,NA,NA,NA,1,NA,NA,NA,23,NA,-1.956569157536693,0.22323039531506592,-0.6120180893204213,prevalence,Main results,0.046000000000000006,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.923583165885602,NA,NA,NA,NA,NA,1,NA,NA,NA,24,NA,-1.904092711616857,0.23488422343660847,-0.5283695655993363,prevalence,Main results,0.05100000000000001,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.8247744754103516,NA,NA,NA,NA,NA,1,NA,NA,NA,25,NA,-1.8315603834180842,0.2466132989815659,-0.4514862617180619,prevalence,Main results,0.05599999999999999,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.7339416150349516,NA,NA,NA,NA,NA,1,NA,NA,NA,26,NA,-1.7651495246984472,0.25753970103564533,-0.3844413788964377,prevalence,Main results,0.061000000000000006,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.649821696202417,NA,NA,NA,NA,NA,1,NA,NA,NA,27,NA,-1.7182497945119632,0.2686464200792248,-0.3215870488161493,prevalence,Main results,0.06600000000000002,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.571428861772523,NA,NA,NA,NA,NA,1,NA,NA,NA,28,NA,-1.6891485166271938,0.27938621884812354,-0.2600399653823211,prevalence,Main results,0.071,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.497978731355353,NA,NA,NA,NA,NA,1,NA,NA,NA,29,NA,-1.6569053634470374,0.28903028414641885,-0.19874352207686047,prevalence,Main results,0.076,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.428836967683248,NA,NA,NA,NA,NA,1,NA,NA,NA,30,NA,-1.6223040268119258,0.2994609552864364,-0.1256735623487482,prevalence,Main results,0.081,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.3634832752006423,NA,NA,NA,NA,NA,1,NA,NA,NA,31,NA,-1.5896641638888351,0.30922018318751865,-0.07551065608866575,prevalence,Main results,0.08600000000000001,Eastern and Southern Africa
People who inject drugs,NA,NA,-2.3014855876606286,NA,NA,NA,NA,NA,1,NA,NA,NA,32,NA,-1.5691193020103167,0.31768968905179723,-0.03531005497763392,prevalence,Main results,0.09100000000000001,Eastern and Southern Africa
